,Location,Relationship,raw_scenario,org_scenaio,location_1,location_2,location_3,Relationship_1,Relationship_2,Relationship_3
37,2,1,SupposeyouwanttoasendanemailwhenyouareatStarbucks.,Suppose you want to a send an email when you are at Starbucks.,0,1,0,1,0,0
38,2,2,Supposeyouwanttoasendanemailwhenyouarewithaveryclosefriendatarestaurant,Suppose you want to a send an email when you are with a very close friend at a restaurant ,0,1,0,0,1,0
39,2,3,"Supposeyouwanttoasendanemailwhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.","Suppose      you want to a send an email when you are surrounded by people you know      (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
40,3,1,Supposeyouwanttoasendanemailwhenyouarewalkingonastreet.,Suppose you want to a send an email when you are walking on a street.,0,0,1,1,0,0
41,3,3,"Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
42,1,1,Supposeyouwanttobrowsetheinternetwhenyouarealoneatyourhome.,Suppose you want to browse the internet when you are alone at your home.,1,0,0,1,0,0
43,1,2,"Supposeyouwanttobrowsetheinternetwhenyouareathomewithpeopleyouarecloseto(e.g.,friends,familymembers)","Suppose you want to browse the internet when you are at home with people you are close to (e.g., friends, family members)",1,0,0,0,1,0
44,1,3,"Supposeyouwanttobrowsetheinternetwhenyouareathomewithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to browse the internet when you are at home with people you know (e.g., acquaintances, colleagues).",1,0,0,0,0,1
45,2,1,Supposeyouwanttobrowsetheinternetwhenyouarealoneatarestaurant.,Suppose you want to browse the internet when you are alone at a restaurant.,0,1,0,1,0,0
46,2,2,Supposeyouwanttobrowseinternetwhenyouarewithyourclosefriendsatarestaurant.,Suppose you want to browse internet when you are with your close friends at a restaurant.,0,1,0,0,1,0
47,2,3,"Supposeyouwanttobrowsetheinternetwhenyouarewithpeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.","Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
48,3,1,Supposeyouwanttobrowsetheinternetwhenyoualoneatapark.,Suppose you want to browse the internet when you alone at a park.,0,0,1,1,0,0
49,3,2,Supposeyouwanttobrowsetheinternetwhenyouarewithyourclosefriendsatapark.,Suppose you want to browse the internet when you are with your close friends at a park.,0,0,1,0,1,0
50,3,3,"Supposeyouwanttobrowsetheinternetwhenyouarewithpeopleyouknow(e.g.,acquaintances,colleagues)atapark.","Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a park.",0,0,1,0,0,1
51,1,1,Supposeyouwanttosetupareminderwhenyouarealoneatyourhome.,Suppose you want to set up a reminder when you are alone at your home.,1,0,0,1,0,0
