"","Q2_feat1","Q2_feat5","Q8_feat5","Q13_feat4","Smart_Phone_Q1_feat2","Smart_Phone_Q2_feat1","Smart_Phone_Q2_feat3","Smart_Phone_Q2_feat5","Smart_Phone_Q4_feat1","Smart_Phone_Q5_feat1","Smart_Phone_Q5_feat6","Smart_Phone_Q6_feat1","Smart_Phone_Q6_feat3","Smart_Phone_Q6_feat4","Smart_Phone_Q7_feat5","Smart_Phone_Q8_feat2","Smart_Phone_Q8_feat5","Smart_Phone_Q9_feat3","Smart_Phone_Q10_feat3","Smart_Phone_Q11_feat2","Smart_Phone_Q11_feat5","Smart_Phone_Q12_feat1","Smart_Phone_Q12_feat5","Smart_Phone_Q13_feat2","Smart_Phone_Q13_feat4"
"Smart_Phone_Q1_feat2",0.124750000935509,-0.0743989472540428,-0.0342539539743205,-0.0435240374684815,1,0.596518450914998,0.266837170673077,0.286022956634075,0.78867273270812,0.753388164475821,-0.0985060619350347,0.508852084970515,0.443927470051479,0.0763368744877889,0.322070636087538,0.528402013333824,0.369960597427772,0.683568338033826,0.771218750288964,0.783526281450164,0.0329665545793078,0.585205311859166,0.278588047561117,0.479005492681624,0.379974706599655
"Smart_Phone_Q1_feat3",0.153253096101473,-0.122892084042461,-0.109537420300847,-0.133284244483984,0.235214419986066,0.267690515749836,0.367668697338595,-0.0295078309629639,0.256478133592339,0.222021227502487,-0.0284642307862101,0.214739934490356,0.232668056562879,0.0377396566354929,-0.00797480589781785,0.255240981674376,0.000308289730244643,0.230684578898987,0.268286025037605,0.241557327897289,-0.0416259320248484,0.291684354157497,-0.0306602380371965,0.282085576060022,-0.0434674834935033
"Smart_Phone_Q1_feat4",0.107374305241821,-0.118931771738949,-0.0668896695594511,-0.128966685069843,0.172361496853863,0.20503327441562,0.385668196725195,-0.00813453288546744,0.171649397546386,0.194584889827259,-0.036176019765164,0.163296638677195,0.251885045592128,-0.0252809588259228,-0.0595959925253316,0.208142322946452,-0.0309512686636089,0.193267983040409,0.197176776543321,0.168966892810127,-0.0161969526265251,0.177509289969335,0.0108953787619987,0.210266424786001,0.00732284699704051
"Smart_Phone_Q1_feat5",0.0499130684544302,-0.0479083372295158,-0.0906506834696449,-0.0564326036837358,0.444241048359778,0.336477746960905,0.259243128361222,0.106475492818879,0.428872133262129,0.361014076441684,-0.0296616024622703,0.153508496957482,0.468281114492044,0.0436584216728079,0.203894401772315,0.373517031365232,0.0941516081458078,0.390047825153814,0.455071430339332,0.451956748393991,-0.0182858328234436,0.372155693664029,0.121033309928588,0.370388055290537,0.116620634255759
"Smart_Phone_Q1_feat7",-0.155374285214622,0.204295856264499,0.21053214697434,0.151213575692133,-0.18179360765485,-0.108064308339257,-0.0250811139977731,0.373838465554906,-0.0436541163988978,-0.0574520319941206,0.715392522709747,-0.0453580762886392,-0.0637214122268085,0.520265072335506,0.340384248088452,-0.0697729772926709,0.333509575345826,-0.101954588951431,-0.0911927421237853,-0.0895323429549363,0.581994730985841,-0.0829654127678583,0.370411718014061,-0.0949675854129023,0.327692116814114
"Smart_Phone_Q2_feat1",0.32459287053632,-0.266282213075769,-0.136860009446574,-0.137536288766338,0.596518450914998,1,0.0609096483352212,-0.305261712921546,0.58260174126302,0.506385537374906,-0.0999388901352358,0.436520544954195,0.279744650736304,-0.0145673314660387,0.10401082790443,0.414495332339962,0.113891808073691,0.425170238410388,0.541964148942036,0.509806184292915,-0.00696638695249499,0.527103673410479,0.104132528440785,0.471324657157476,0.119045166431244
"Smart_Phone_Q2_feat2",0.158224698891069,-0.157548759789846,-0.123880396684141,-0.135117199570857,0.227620980743216,0.305639013511766,0.355342757098579,-0.109835057448928,0.210504437925003,0.18537677681844,-0.0432668670407993,0.196757954395169,0.287167045728835,-0.0417773373888534,-0.0735736816456203,0.267535117242695,-0.0608517743117106,0.181381386957964,0.199629532573059,0.214117900074569,-0.0319988974702047,0.261520956390076,-0.0421236794432943,0.294600117166967,-0.0583499660882876
"Smart_Phone_Q2_feat3",0.0309190863480102,-0.121819032934584,-0.0990350689559781,-0.108934085164298,0.266837170673077,0.0609096483352212,1,-0.1392884136103,0.278938532299658,0.24597938787837,-0.0374648445763199,0.125658712563285,0.380875900641029,-0.020209073490383,0.0418375644772233,0.327157608287109,-0.0251985634638447,0.269423879888314,0.257447820575871,0.291201620346975,-0.0296869558551132,0.213163735249909,0.0110966957728388,0.308157295335443,-0.0276011468978361
"Smart_Phone_Q2_feat5",-0.244032064764144,0.340060360212359,0.212714818088968,0.187134811439703,0.286022956634075,-0.305261712921546,-0.1392884136103,1,0.284197088899231,0.344076952936871,0.359703129607985,0.184141604713816,0.0879265548889329,0.389744647889486,0.439807034892351,0.0730256289711789,0.506488857210908,0.240243323247244,0.242652620617617,0.278496538766105,0.358864123006756,0.128273872252427,0.421060759802629,-0.00980806214386203,0.530702912950582
"Smart_Phone_Q3_feat1",0.170144958819581,-0.135072706762531,-0.156417826180105,-0.144304693611476,0.576291591856939,0.492263404327231,0.275654300837125,0.110613140502991,0.589367311917876,0.473667182206376,-0.0991094152841896,0.279571351026506,0.432029450498404,0.0339318332899496,0.0505743255478753,0.409609074667569,0.0989201675839287,0.302208048220494,0.469222352873512,0.480809977898761,0.0238554771882117,0.570404195880575,0.0328076984919218,0.452016338823165,0.162974648528026
"Smart_Phone_Q3_feat2",0.101377110927044,-0.0602514686980822,-0.0939145137620009,-0.0888709747881292,0.5983902905313,0.423662158593865,0.282207554791534,0.162808800313676,0.572730235806948,0.50990111713654,-0.066092495174899,0.2995186847288,0.409853659296291,0.0188805163445242,0.187410028021473,0.522968952433847,0.10799141229049,0.560721165536158,0.58044587333614,0.619363875969418,-0.0820267895723244,0.448053729074533,0.145273585807407,0.396882619113042,0.204588823289491
"Smart_Phone_Q3_feat3",0.0705059535155211,-0.0256993763145602,-0.0480958081583361,-0.0143024637081413,0.616334352600416,0.434422576574073,0.264162869130219,0.163177913917155,0.552013223113414,0.54057742010613,-0.108227922526152,0.397548020732245,0.404938877476129,-0.0104278259594694,0.27755594640807,0.489082557345315,0.181867565878397,0.63623338465033,0.655165985588481,0.622360474992742,-0.0472058670663114,0.411607289657661,0.195788613694905,0.386611373970451,0.235467443962711
"Smart_Phone_Q3_feat4",0.053908273801335,-0.03441604985807,-0.11119874828204,-0.113612674164704,0.197513968692863,0.178308410357286,0.395464092712119,0.00580718348170096,0.213225312712775,0.187128101528147,-0.0424349729343535,0.195247862625656,0.307171143233701,-0.0542487426559211,0.0204624103079333,0.296388426953593,-0.077240970013573,0.216711507341198,0.226523633554884,0.216247009125292,-0.0302445217349245,0.262275132169363,-0.0177398339777561,0.293907556663442,-0.0547802409331807
"Smart_Phone_Q3_feat6",-0.12780423600128,0.188632235368156,0.254511452638508,0.185385478186388,-0.0542564664042883,-0.0773855112904092,-0.0372111362504854,0.381233192813218,-0.0243275606699575,-0.025318591930916,0.724386939477961,-0.0254646361559571,-0.0684603831101534,0.550150760889642,0.349324946007816,-0.108726140925702,0.422205080627926,-0.076852785588289,-0.059834814325576,-0.0994771961889477,0.616527102779549,-0.0650086494089191,0.391559050318001,-0.0925489893436182,0.367326996026129
"Smart_Phone_Q4_feat1",0.0938810516419201,-0.0446999984233791,-0.0723254282453534,-0.105335996227408,0.78867273270812,0.58260174126302,0.278938532299658,0.284197088899231,1,0.722237073114793,-0.080847164311879,0.510728123427427,0.423164151945667,0.0512489322256431,0.298976048536712,0.513965867033358,0.31432719274194,0.595662236329141,0.708042394653156,0.731275973497152,0.0647641572252364,0.61701367705894,0.23680325024203,0.519437406345019,0.313470299334331
"Smart_Phone_Q5_feat1",0.0957653814779027,-0.030955237142775,0.00805601869584301,0.00228109830044383,0.753388164475821,0.506385537374906,0.24597938787837,0.344076952936871,0.722237073114793,1,-0.161776915992867,0.546703944001053,0.376603601551885,0.0593326998178475,0.376631040962513,0.41943983687586,0.392546842859124,0.64728320422383,0.696085046284099,0.697306672601134,0.0565909273506897,0.485839035718481,0.344989467774285,0.385193076894741,0.400365452078079
"Smart_Phone_Q5_feat2",0.0971589037589874,-0.0858360500123813,-0.154459838242026,-0.13225142088906,0.271340910697072,0.310977200049281,0.26142138841973,-0.00826958893435176,0.33114143493463,-0.0650541906035695,-0.0602005357871528,0.209579442309815,0.188757992022415,0.0399171443987868,-0.0457667271413557,0.341905483897901,-0.0492708573066209,0.138269695348228,0.243778719967698,0.279277496790207,-0.00652595640357218,0.34073504511805,-0.0439388690997086,0.334973492268646,-0.00308205062220316
"Smart_Phone_Q5_feat3",0.0998308717361503,-0.135246373486549,-0.143097313049751,-0.119242347593109,0.1946090361655,0.238120856933008,0.384345212179881,-0.0754093512635098,0.210479930975397,0.0321143788168323,-0.0420139845664486,0.20905722275589,0.265658277540305,-0.0678843381984491,-0.038553533301953,0.301317905187781,-0.0757241491353239,0.221477068390393,0.214782376107531,0.221599622399209,-0.0609598064180924,0.248946485679796,-0.069567583141478,0.278265027479723,-0.0432509363105577
"Smart_Phone_Q5_feat4",0.102223565885604,-0.0830298344212118,-0.0883897889286443,-0.106095744753505,0.152072264591027,0.207489956146997,0.305893174715915,-0.0412839632582852,0.151509603057723,0.0884830627884953,-0.0281929559356446,0.172844492504645,0.189860072829291,-0.0245491623068843,-0.0590177249669676,0.167764391489743,-0.0196724032303451,0.136621840407139,0.146988475659688,0.152484116295149,-0.0409063114085867,0.215251901195004,-0.0526795730959952,0.208443156113211,-0.0387907785892471
"Smart_Phone_Q5_feat6",-0.132923884305612,0.1945108825045,0.230364265951765,0.15249623860427,-0.0985060619350347,-0.0999388901352358,-0.0374648445763199,0.359703129607985,-0.080847164311879,-0.161776915992867,1,-0.0988588863754193,-0.0575495316701868,0.571436351185805,0.348040361288093,-0.0939927988577138,0.352858280087007,-0.101996414505853,-0.125043019278295,-0.112914722942958,0.585335307229784,-0.0731206440997563,0.354217469814393,-0.0885202596942323,0.326297754205211
"Smart_Phone_Q6_feat1",0.100468190261719,-0.024373519418326,0.029451146631313,0.0280861436002293,0.508852084970515,0.436520544954195,0.125658712563285,0.184141604713816,0.510728123427427,0.546703944001053,-0.0988588863754193,1,-0.082654129879753,-0.17690554901519,0.274951729527215,0.330439138663453,0.260100637743134,0.527339833936744,0.493202539414555,0.512324290987989,-0.0369030058961294,0.343803328004564,0.231362193746441,0.24538052164793,0.288671145652139
"Smart_Phone_Q6_feat2",0.130201533727746,-0.142898454607698,-0.194175925590599,-0.192750763175138,0.371963047001717,0.367289544533105,0.291609094131903,0.026272506309825,0.419072205292592,0.276885557175245,-0.0677303172096838,0.119066519371643,0.221061533369435,-0.130207175264741,-0.103868322239512,0.380335960119936,-0.0069278166492673,0.258857014687771,0.377243059413058,0.392704120228813,-0.0708295900457008,0.396655035007126,-0.0325084941068671,0.510118018807291,-0.0337584344285316
"Smart_Phone_Q6_feat3",0.0620968481420671,-0.0704013169251019,-0.117498803737435,-0.0966134383265802,0.443927470051479,0.279744650736304,0.380875900641029,0.0879265548889329,0.423164151945667,0.376603601551885,-0.0575495316701868,-0.082654129879753,1,-0.133753158436979,0.0931164734757481,0.36872101495449,0.0114908500198877,0.338469802955981,0.413894074462465,0.408606261726871,-0.0296398593080332,0.314273683780876,0.100324930890937,0.315405124327719,0.106197890049454
"Smart_Phone_Q6_feat4",-0.112347286938647,0.179492583420759,0.18802567722342,0.152264508205792,0.0763368744877889,-0.0145673314660387,-0.020209073490383,0.389744647889486,0.0512489322256431,0.0593326998178475,0.571436351185805,-0.17690554901519,-0.133753158436979,1,0.374487010771457,-0.0482417071040457,0.452086014171043,-0.026147163232081,-0.00853415532125108,-0.00231830259169704,0.580273826421921,0.0508674939000498,0.351558290686632,-0.0583957296948826,0.380430673357248
"Smart_Phone_Q7_feat1",0.239896630190612,-0.192834635304155,-0.166096390407045,-0.145282039665247,0.484742230356979,0.506081243937262,0.229905451374994,0.0207819287912393,0.50795887845415,0.396840584694544,-0.0790768051595159,0.270363089837626,0.347866339602194,0.00362647814544432,-0.265353823911141,0.330775864884655,0.0770036644895998,0.26236447803348,0.386834743853472,0.38491243854735,-0.0196353374761607,0.52564662204591,-0.0238982705362845,0.439401408646154,0.0896338217163371
"Smart_Phone_Q7_feat2",0.140437683608677,-0.138469834605811,-0.153954034085432,-0.16565029091418,0.479916693602511,0.38687662881087,0.250300841918512,0.0980518249540284,0.48236243961975,0.316067929774827,-0.0614254723401138,0.183634642947261,0.37267937551216,0.0255211864084578,-0.251080613856144,0.402291554985869,0.0624542637875498,0.264386423946689,0.421931581449936,0.421486471043363,0.00895721476123372,0.50501507856979,-0.0479501808135175,0.466554766390583,0.0877315313511134
"Smart_Phone_Q7_feat3",0.146877791512689,-0.110051819343187,-0.123422496127986,-0.157974296223335,0.419041108201582,0.366908382057536,0.282199550241735,0.0706250443169668,0.426626863102791,0.350568958999582,-0.0617772985676456,0.188976941903816,0.369721558032639,0.00522077180414534,-0.22614020065476,0.386465540514038,0.0559593666341812,0.259064087147535,0.369282587999845,0.382094887830129,0.0242651534688552,0.439547308978232,-0.0419311404721207,0.478861181067552,0.0270203751958623
"Smart_Phone_Q7_feat5",-0.162659060045057,0.213939620976719,0.223624883104304,0.215854744598971,0.322070636087538,0.10401082790443,0.0418375644772233,0.439807034892351,0.298976048536712,0.376631040962513,0.348040361288093,0.274951729527215,0.0931164734757481,0.374487010771457,1,0.148874910795159,0.483463208934649,0.400351443667483,0.343911133787252,0.355736353353592,0.336969097071818,0.0726544242943409,0.54286377098098,-0.0380990309305722,0.501664323268402
"Smart_Phone_Q8_feat1",0.17679777884916,-0.161436781471918,-0.227862177149755,-0.17832511185513,0.241678866196385,0.390906091896521,0.268539552729103,-0.0637003817726749,0.322984640586478,0.251004416896849,-0.0627515873873166,0.25110697761121,0.302636610322209,-0.070791259223431,-0.142786209824889,0.19168284338157,-0.172512737781696,0.143138900949099,0.169098030000342,0.209056171236308,-0.0575691263977289,0.444036489752217,-0.121670728393538,0.369542596036393,-0.0709237461247136
"Smart_Phone_Q8_feat2",0.10952467237624,-0.103947693271734,-0.218954517592821,-0.0860462062960845,0.528402013333824,0.414495332339962,0.327157608287109,0.0730256289711789,0.513965867033358,0.41943983687586,-0.0939927988577138,0.330439138663453,0.36872101495449,-0.0482417071040457,0.148874910795159,1,-0.288302650619835,0.48062238790024,0.550440498512538,0.571025002232191,-0.0897561340570857,0.402257263502983,0.111247496435591,0.421238212634599,0.124503121031018
"Smart_Phone_Q8_feat3",0.114766809886209,-0.100030121310022,-0.180008503493052,-0.146878603382394,0.365271020475263,0.326414155534218,0.330249172592004,0.0226779823331357,0.363847381430211,0.315470746981872,-0.0718139579601879,0.156870700620564,0.44339878542732,-0.0518320872594782,0.0648676456256359,0.464113760325762,-0.197426439943026,0.359358384928864,0.371706260863875,0.397358832983646,-0.0640585521014847,0.349392893769013,-0.00368589837030904,0.382800421921763,0.00900770922972736
"Smart_Phone_Q8_feat5",-0.0932117810902408,0.170540605519118,0.355797572373838,0.179087109936396,0.369960597427772,0.113891808073691,-0.0251985634638447,0.506488857210908,0.31432719274194,0.392546842859124,0.352858280087007,0.260100637743134,0.0114908500198877,0.452086014171043,0.483463208934649,-0.288302650619835,1,0.261760378023633,0.283052849857535,0.280978639422675,0.441858013127031,0.141269029394526,0.47276209991185,0.0087061612381627,0.533455904882568
"Smart_Phone_Q9_feat1",0.162935401060603,-0.135335945633836,-0.145984966951743,-0.166751476046199,0.359541045250344,0.430511615843823,0.223032302514328,-0.0270041084833241,0.393160362164398,0.391319694477802,-0.0639929683293761,0.291230384461204,0.323681313611023,-0.0640046947950685,-0.0119131966202765,0.306637732344076,0.00888525739506434,0.276230219959943,0.345682679535155,0.312296994468619,-0.0455510888394273,0.389210115802225,-4.94776175774402e-05,0.393669853489033,-0.00635737349630915
"Smart_Phone_Q9_feat2",0.18355681559737,-0.157980533811755,-0.179922324994398,-0.21144520295178,0.402060369364866,0.450623725884957,0.291074056758178,-0.0378323628439249,0.43811256036033,0.326608943712026,-0.0719647795600294,0.201025539497516,0.336731294023482,-0.0548058273998719,-0.0711326901439475,0.412330861049107,0.00381099954653361,0.223525385005675,0.382900310048866,0.401239114378052,-0.042141896483829,0.40994406838971,-0.010605225624711,0.4540742507176,0.00921779746743051
"Smart_Phone_Q9_feat3",0.0638355074918545,-0.0320707338026303,-0.0233531844691857,0.0217444765074815,0.683568338033826,0.425170238410388,0.269423879888314,0.240243323247244,0.595662236329141,0.64728320422383,-0.101996414505853,0.527339833936744,0.338469802955981,-0.026147163232081,0.400351443667483,0.48062238790024,0.261760378023633,1,0.695341661041725,0.723677260469818,-0.0852847882117361,0.376696791443392,0.310767829190179,0.332248270133352,0.324719525158297
"Smart_Phone_Q9_feat4",0.0915404920868402,-0.0834386133712533,-0.0919043638684287,-0.077601599237433,0.211311779958734,0.247393057344056,0.368455005853679,-0.0545792160858112,0.210479930975397,0.192269483021518,-0.0420139845664486,0.160536422935419,0.300212019128342,-0.0534379795796572,-0.038553533301953,0.251662678609351,-0.0657796320130966,0.203597945082735,0.197725422912031,0.221599622399209,-0.0293480235142806,0.258116058866457,-0.0159450473122273,0.298704934626928,-0.0335467763464636
"Smart_Phone_Q9_feat6",-0.112473497764139,0.162930393027342,0.217048117969347,0.143459801320486,0.0827322855572035,-0.0124158514398058,-0.0493551325962769,0.424814134142766,0.116092891765632,0.0449252783760258,0.528060378280703,-0.0454228772263419,0.0103113067630464,0.602805480502816,0.267559029252691,-0.0479909767951127,0.439455035649955,-0.223097794160393,0.00467727692344451,-0.0255361170724634,0.603724332220592,0.106668181963959,0.316764206706276,-0.0213564225828128,0.402879187836503
"Smart_Phone_Q10_feat1",0.163779051930566,-0.0910451079200134,-0.109206152347831,-0.124732456513723,0.404454078135048,0.378724113133044,0.250368327085767,0.0628577658766076,0.449507794382751,0.363289585819072,-0.0608136497540363,0.291877472891344,0.336337669567141,0.015534511397858,0.0677823689472661,0.320386863312188,0.0489113568403719,0.305437484778221,0.310246596071647,0.409140529863636,-0.0621015402187301,0.421076391380283,0.0151256080961635,0.382475772274329,0.0202310578182328
"Smart_Phone_Q10_feat2",0.0456639838413528,-0.0119807359626072,0.00117265218295583,0.000736343674001605,0.48447609399936,0.380916817811812,0.29123548026083,0.104403767793601,0.456825431533574,0.488302015295227,-0.0752673627863948,0.465676021152061,0.236463643240717,-0.00242179754547238,0.310161847956682,0.408348356116246,0.134217245503025,0.561623962658019,0.473196162389586,0.484641076506971,-0.028434230914949,0.304131543896545,0.241969934835757,0.278678648955887,0.211574769593423
"Smart_Phone_Q10_feat3",0.0964677427642341,-0.0601343120063639,-0.0577097426598458,0.0090181957645209,0.771218750288964,0.541964148942036,0.257447820575871,0.242652620617617,0.708042394653156,0.696085046284099,-0.125043019278295,0.493202539414555,0.413894074462465,-0.00853415532125108,0.343911133787252,0.550440498512538,0.283052849857535,0.695341661041725,1,0.77501828586842,-0.0546189009048902,0.483217802923738,0.311124358209949,0.439202600137322,0.349253623873517
